article_id,category,subcategory,title,abstract,url,title_entities,abstract_entities
N129517,news,newsoffbeat,"Brewery releases 'F  PG&E' beer, gets bombarded with 1-star Yelp reviews","A Santa Rosa brewery owner fed up with multiple years of devastating fires sparked by PG&E power lines made a bold statement last week by way of one of his company's beer names: ""F  PG&E."" (It should be noted the brewery, Shady Oak Barrel House, used the full curse word.) Sign up for our Newsletters Shady Oak owner Steve Doty is certainly not the only Northern California resident angry at the utility company, which is why he didn't expect the...",https://assets.msn.com/labs/mind/BBWEK7w.html,"[{""Label"": ""Yelp"", ""Type"": ""O"", ""WikidataId"": ""Q2299611"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [60], ""SurfaceForms"": [""Yelp""]}]","[{""Label"": ""Santa Rosa, California"", ""Type"": ""G"", ""WikidataId"": ""Q212991"", ""Confidence"": 0.977, ""OccurrenceOffsets"": [2], ""SurfaceForms"": [""Santa Rosa""]}, {""Label"": ""Shady Oak, Virginia"", ""Type"": ""G"", ""WikidataId"": ""Q7460947"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [301], ""SurfaceForms"": [""Shady Oak""]}, {""Label"": ""Northern California"", ""Type"": ""G"", ""WikidataId"": ""Q1066807"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [354], ""SurfaceForms"": [""Northern California""]}]"
N66213,sports,icehockey_nhl,Bruins give Anders Bjork his shot,"After two shoulder surgeries, Anders Bjork is getting another shot to make the Boston Bruins.",https://assets.msn.com/labs/mind/AAJbh5x.html,"[{""Label"": ""Anders Bjork (ice hockey)"", ""Type"": ""P"", ""WikidataId"": ""Q29473796"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""Anders Bjork""]}, {""Label"": ""Boston Bruins"", ""Type"": ""O"", ""WikidataId"": ""Q194121"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Bruins""]}]","[{""Label"": ""Anders Bjork (ice hockey)"", ""Type"": ""P"", ""WikidataId"": ""Q29473796"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [30], ""SurfaceForms"": [""Anders Bjork""]}, {""Label"": ""Boston Bruins"", ""Type"": ""O"", ""WikidataId"": ""Q194121"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [79], ""SurfaceForms"": [""Boston Bruins""]}]"
N26280,news,newsus,Sacramento's optimistic sprint now includes Major League Soccer. It's a beautiful thing,More from the series ------ MLS & Sacramento Click the arrow below for full coverage of Major League Soccer's announcement of an expansion team in Sacramento. Expand All ------ Major League Soccer will officially welcome Sacramento into its league Monday with a full on downtown celebration that will be exciting for the region even though it still seems unreal to me. As the most senior ...,https://assets.msn.com/labs/mind/AAJ7i3r.html,"[{""Label"": ""Sacramento, California"", ""Type"": ""G"", ""WikidataId"": ""Q18013"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Sacramento""]}, {""Label"": ""Major League Soccer"", ""Type"": ""O"", ""WikidataId"": ""Q18543"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [44], ""SurfaceForms"": [""Major League Soccer""]}]","[{""Label"": ""Sacramento, California"", ""Type"": ""G"", ""WikidataId"": ""Q18013"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [34, 147, 221], ""SurfaceForms"": [""Sacramento"", ""Sacramento"", ""Sacramento""]}, {""Label"": ""Major League Soccer"", ""Type"": ""O"", ""WikidataId"": ""Q18543"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28, 88, 177], ""SurfaceForms"": [""MLS"", ""Major League Soccer"", ""Major League Soccer""]}]"
N50003,sports,more_sports,"Boys soccer: Playoff schedule, predictions and recaps for Oct. 30","Kevin Abbondanza earns player of the day; Mamaroneck, Ossining, Somers, Rye, Hastings, Bronxville, Hamilton and Leffell will play for a title.",https://assets.msn.com/labs/mind/AAJBb2W.html,"[{""Label"": ""Playoffs"", ""Type"": ""C"", ""WikidataId"": ""Q868291"", ""Confidence"": 0.994, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Playoff""]}]","[{""Label"": ""Bronxville, New York"", ""Type"": ""G"", ""WikidataId"": ""Q928168"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [87], ""SurfaceForms"": [""Bronxville""]}, {""Label"": ""Hamilton, Indiana"", ""Type"": ""G"", ""WikidataId"": ""Q2161311"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [99], ""SurfaceForms"": [""Hamilton""]}]"
N11355,news,newsus,Arkansas lawmaker's body to lie in state at Capitol,"LITTLE ROCK, Ark. (AP)   The body of lawmaker and civil rights attorney John Walker will lie in state at Arkansas' capitol as part of his funeral arrangements this week. Secretary of State John Thurston announced that Walker's body will lie in state at the Capitol on Thursday from 11 a.m. until 2 p.m. on the second-floor rotunda. Walker, 82, died at his Little Rock home on Monday. Funeral for Walker is scheduled for St. Mark Baptist Church in...",https://assets.msn.com/labs/mind/AAJytwM.html,"[{""Label"": ""Arkansas"", ""Type"": ""G"", ""WikidataId"": ""Q1612"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Arkansas""]}]","[{""Label"": ""Little Rock, Arkansas"", ""Type"": ""G"", ""WikidataId"": ""Q33405"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0, 356], ""SurfaceForms"": [""LITTLE ROCK"", ""Little Rock""]}, {""Label"": ""Arkansas State Capitol"", ""Type"": ""F"", ""WikidataId"": ""Q673076"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [105], ""SurfaceForms"": [""Arkansas' capitol""]}, {""Label"": ""Secretary of State of Arkansas"", ""Type"": ""K"", ""WikidataId"": ""Q17089716"", ""Confidence"": 0.919, ""OccurrenceOffsets"": [170], ""SurfaceForms"": [""Secretary of State""]}, {""Label"": ""John Thurston (politician)"", ""Type"": ""P"", ""WikidataId"": ""Q21258911"", ""Confidence"": 0.976, ""OccurrenceOffsets"": [189], ""SurfaceForms"": [""John Thurston""]}, {""Label"": ""Arkansas"", ""Type"": ""G"", ""WikidataId"": ""Q1612"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Ark""]}, {""Label"": ""Baptists"", ""Type"": ""U"", ""WikidataId"": ""Q93191"", ""Confidence"": 0.968, ""OccurrenceOffsets"": [429], ""SurfaceForms"": [""Baptist Church""]}]"
N82786,sports,racing,The Action Network: Two top picks to win Texas,"The Action Network specializes in providing sports betting insights/analytics and is a content partner with NASCAR. Check out more NASCAR betting analysis here. One of the keys to being a successful sports bettor is the ability to keep emotion out of your wagering decisions, but that's not easy at times. I had Ross Chastain at […]",https://assets.msn.com/labs/mind/AAJM6GU.html,"[{""Label"": ""The Action Network"", ""Type"": ""N"", ""WikidataId"": ""Q56291134"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""The Action Network""]}]","[{""Label"": ""NASCAR"", ""Type"": ""U"", ""WikidataId"": ""Q233929"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [108, 131], ""SurfaceForms"": [""NASCAR"", ""NASCAR""]}, {""Label"": ""Ross Chastain"", ""Type"": ""P"", ""WikidataId"": ""Q7369232"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [312], ""SurfaceForms"": [""Ross Chastain""]}, {""Label"": ""The Action Network"", ""Type"": ""N"", ""WikidataId"": ""Q56291134"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""The Action Network""]}]"
N116117,finance,financenews,Judge delays decision on whether 'winner' of gulf-front condo should get his money back,"CLEARWATER   Joseph Erickson will have to wait at least two more months to learn if he'll get back the $350,000 he invested in a gulf-front condo. At hearing Wednesday, Pinellas County Ciruit Judge Keith Meyer said he wants to hear factual evidence before deciding who is entitled to the surplus proceeds of a 2018 foreclosure auction at which Erickson was the winning bidder. ""I'm trying to be ...",https://assets.msn.com/labs/mind/BBWItxM.html,[],[]
N37565,sports,football_nfl,Jimmy Garoppolo Lights Up Twitter After Calling Erin Andrews 'Baby',"The San Francisco 49ers remain undefeated after Thursday night's 28-25 win over the Arizona Cardinals, and Erin Andrews' conversation with Jimmy Garoppolo after the game went viral. When Andrews asked the quarterback about being 8-0, Garoppolo said, ""It feels great, baby,"" and Andrews visibly swooned. Jimmy G out here shooting his shot with Erin Andrews pic.twitter.com/mXetWd3w8a -- Surf & Turf Podcast (@surfandturfpod) November 1, 2019 And...",https://assets.msn.com/labs/mind/AAJGCFp.html,"[{""Label"": ""Jimmy Garoppolo"", ""Type"": ""P"", ""WikidataId"": ""Q15631945"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Jimmy Garoppolo""]}, {""Label"": ""Twitter"", ""Type"": ""O"", ""WikidataId"": ""Q918"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Twitter""]}]","[{""Label"": ""Jimmy Garoppolo"", ""Type"": ""P"", ""WikidataId"": ""Q15631945"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [139, 234, 303], ""SurfaceForms"": [""Jimmy Garoppolo"", ""Garoppolo"", ""Jimmy G""]}, {""Label"": ""Surf and turf"", ""Type"": ""C"", ""WikidataId"": ""Q1781099"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [386], ""SurfaceForms"": [""Surf & Turf""]}, {""Label"": ""Arizona Cardinals"", ""Type"": ""O"", ""WikidataId"": ""Q224164"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [84], ""SurfaceForms"": [""Arizona Cardinals""]}, {""Label"": ""San Francisco 49ers"", ""Type"": ""O"", ""WikidataId"": ""Q337758"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""San Francisco 49ers""]}]"
N117245,entertainment,celebritynews,"Diahann Carroll, Pioneering Actress on 'Julia' and 'Dynasty,' Dies at 84","She also landed a historic Tony Award, plus an Oscar nomination for her performance in 'Claudine.'",https://assets.msn.com/labs/mind/AAIigez.html,"[{""Label"": ""Diahann Carroll"", ""Type"": ""P"", ""WikidataId"": ""Q240233"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Diahann Carroll""]}, {""Label"": ""Dynasty (1981 TV series)"", ""Type"": ""W"", ""WikidataId"": ""Q584025"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [52], ""SurfaceForms"": [""Dynasty""]}]","[{""Label"": ""Claudine (film)"", ""Type"": ""W"", ""WikidataId"": ""Q1440046"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [88], ""SurfaceForms"": [""Claudine""]}, {""Label"": ""Tony Award"", ""Type"": ""B"", ""WikidataId"": ""Q191874"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [27], ""SurfaceForms"": [""Tony Award""]}, {""Label"": ""Academy Awards"", ""Type"": ""J"", ""WikidataId"": ""Q19020"", ""Confidence"": 0.977, ""OccurrenceOffsets"": [47], ""SurfaceForms"": [""Oscar""]}]"
N54081,foodanddrink,restaurantsandnews,You're Eating Your Fancy Dinners Wrong,"An outrageously gorgeous, outrageously expensive meal is better than just about anything else in the catalog of pleasures. But, according to one Michelin-starred chef, many fine diners would have an even better experience if they followed five simple rules.",https://assets.msn.com/labs/mind/AAHUQls.html,[],"[{""Label"": ""Michelin Guide"", ""Type"": ""U"", ""WikidataId"": ""Q214844"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [145], ""SurfaceForms"": [""Michelin-starred""]}]"
